Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Handle Dropdown,Firefox 69.0,,,2019-12-09 12:55:51,2019-12-09 12:56:12,20.592s,INCOMPLETE
,,,,,,,
Test Cases/handle drop down,Firefox 69.0,,,2019-12-09 12:55:51,2019-12-09 12:56:12,20.370s,PASSED
"openBrowser(""https://facebook.com"")",Firefox 69.0,,,2019-12-09 12:55:52,2019-12-09 12:56:00,8.146s,PASSED
waitForPageLoad(60),Firefox 69.0,,,2019-12-09 12:56:00,2019-12-09 12:56:00,0.147s,PASSED
"selectOptionByLabel(findTestObject(""HandleDropdown/Page_Facebook  log in or sign up/select_Day""), ""19"", true)",Firefox 69.0,,,2019-12-09 12:56:00,2019-12-09 12:56:03,2.369s,PASSED
"verifyOptionPresentByLabel(findTestObject(""HandleDropdown/Page_Facebook  log in or sign up/select_Day""), ""19"", true, 30)",Firefox 69.0,,,2019-12-09 12:56:03,2019-12-09 12:56:03,0.504s,PASSED
"selectOptionByLabel(findTestObject(""HandleDropdown/Page_Facebook  log in or sign up/select_Month""), ""Nov"", true)",Firefox 69.0,,,2019-12-09 12:56:03,2019-12-09 12:56:04,0.909s,PASSED
"selectOptionByLabel(findTestObject(""HandleDropdown/Page_Facebook  log in or sign up/select_Year""), ""1994"", true)",Firefox 69.0,,,2019-12-09 12:56:04,2019-12-09 12:56:07,2.800s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-09 12:56:07,2019-12-09 12:56:10,3.048s,PASSED
